position,name,homeWon,homeDrawn,homeLost,awayWon,awayDrawn,awayLost,points
1,Manchester City,16,2,1,16,2,1,100
2,Arsenal,15,2,2,4,4,11,63
3,Manchester United,15,2,2,10,4,5,81
4,Liverpool,12,7,0,9,5,5,75
5,Tottenham Hotspur,13,4,2,10,4,5,77
6,Chelsea,11,4,4,10,3,6,70
7,Everton,10,4,5,3,6,10,49
8,Brighton & Hove Albion,7,8,4,2,5,12,40
9,Newcastle United,8,4,7,4,4,11,44
10,Leicester City,7,6,6,5,5,9,47
11,West Ham United,7,6,6,3,6,10,42
12,Watford,7,6,6,4,2,13,41
13,Crystal Palace,7,5,7,4,6,9,44
14,Burnley,7,5,7,7,7,5,54
15,AFC Bournemouth,7,5,7,4,6,9,44
16,Huddersfield Town,6,5,8,3,5,11,37
17,Swansea City,6,3,10,2,6,11,33
18,Stoke City,5,5,9,2,7,10,33
19,Southampton,4,7,8,3,8,8,36
20,West Bromwich Albion,3,9,7,3,4,12,31
